pais,aforo,asistencia,evolucion
alemania,51000,93,1
inglaterra,43000,90,4
holanda,29000,89,-2
españa,38000,71,0
francia,28000,69,-2
noruega,17000,66,-9
polonia,17000,60,62
suiza,21000,59,3
rusia,22000,58,-3
escocia,24000,57,-2
austria,17000,52,0
italia,33000,51,-3
belgica,18000,51,0
turquia,21000,49,10
ucrania,18000,46,3
suecia,16000,45,-18
dinamarca,16000,44,-15
portugal,20000,33,-5
grecia,15000,30,-11
